Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Arena,Notes
"Tue, Oct 24, 2023",7:30p,Los Angeles Lakers,,Denver Nuggets,,,,,Ball Arena,
"Tue, Oct 24, 2023",10:00p,Phoenix Suns,,Golden State Warriors,,,,,Chase Center,
"Wed, Oct 25, 2023",7:00p,Houston Rockets,,Orlando Magic,,,,,Amway Center,
"Wed, Oct 25, 2023",7:00p,Boston Celtics,,New York Knicks,,,,,Madison Square Garden (IV),
"Wed, Oct 25, 2023",7:00p,Washington Wizards,,Indiana Pacers,,,,,Gainbridge Fieldhouse,
"Wed, Oct 25, 2023",7:00p,Atlanta Hawks,,Charlotte Hornets,,,,,Spectrum Center,
"Wed, Oct 25, 2023",7:30p,Detroit Pistons,,Miami Heat,,,,,Kaseya Center,
"Wed, Oct 25, 2023",7:30p,Minnesota Timberwolves,,Toronto Raptors,,,,,Scotiabank Arena,
"Wed, Oct 25, 2023",7:30p,Cleveland Cavaliers,,Brooklyn Nets,,,,,Barclays Center,
"Wed, Oct 25, 2023",8:00p,New Orleans Pelicans,,Memphis Grizzlies,,,,,FedEx Forum,
"Wed, Oct 25, 2023",8:00p,Oklahoma City Thunder,,Chicago Bulls,,,,,United Center,
"Wed, Oct 25, 2023",9:00p,Sacramento Kings,,Utah Jazz,,,,,Delta Center,
"Wed, Oct 25, 2023",9:30p,Dallas Mavericks,,San Antonio Spurs,,,,,AT&T Center,
"Wed, Oct 25, 2023",10:30p,Portland Trail Blazers,,Los Angeles Clippers,,,,,Crypto.com Arena,
"Thu, Oct 26, 2023",7:30p,Philadelphia 76ers,,Milwaukee Bucks,,,,,Fiserv Forum,
"Thu, Oct 26, 2023",10:00p,Phoenix Suns,,Los Angeles Lakers,,,,,Crypto.com Arena,
"Fri, Oct 27, 2023",7:00p,Denver Nuggets,,Memphis Grizzlies,,,,,FedEx Forum,
"Fri, Oct 27, 2023",7:00p,Detroit Pistons,,Charlotte Hornets,,,,,Spectrum Center,
"Fri, Oct 27, 2023",7:30p,New York Knicks,,Atlanta Hawks,,,,,State Farm Arena,
"Fri, Oct 27, 2023",7:30p,Oklahoma City Thunder,,Cleveland Cavaliers,,,,,Rocket Mortgage Fieldhouse,
